symbol_1,symbol_2,pubmed_ids
SARM1,UBC,22871113
KIF5C,SMURF1,17906294
ABCD1,SLC27A2,16781659
KIF5C,SMURF2,17906294
GNAZ,UBC,22871113
PRKCI,SQSTM1,11500922
FAM49A,UBC,22871113
SMAD1,VCP,22051847
BAD,SNCA,10407019
GNAS,UBC,22871113
CBL,FLT1,15001553
HSPA4,NR3C1,12145311
MAP2K1,SNCA,10407019
CBL,RET,16525057
BAD,BRAF,16116448
MAP3K3,PSME3,12650640
FASN,UBC,22871113
RGS20,UBC,22871113
PSMD14,RAD23B,19182904
DHRS7B,UBC,22871113
HYOU1,TG,9006956
MDM2,PTGS2,25058273
BIN1,FABP4,11382783
ALDOC,UBC,22871113
PARK2,UBE2L3,23661642
CAPZA1,UBC,22871113
HSPH1,UBC,22871113
CTTN,KCNA2,12151401
GRM8,UBE2A,16144832
ABCA2,UBC,22871113
ITPR1,SPTBN1,14593108
DACT1,HDAC1,21718540
UBC,VAMP7,22871113
ADRBK1,GNB1,16221676
RUNX1,VDR,20236534
KCNB1,SUMO1,21518833
KCNB1,SUMO2,21518833
KCNB1,SUMO3,21518833
BIRC6,UBC,22871113
HIF1A,MAPK1,10551817
SNAP25,STX1B,10825299
SNAP25,STX1A,9168999;21266332;7768895;10825299;22411134
LMB1,PLCB1,23665500
IRS1,UBC,15456867
CASK,UBC,22871113
STIP1,UBC,22871113
GDA,UBC,22871113
TAP1,TAP2,10508608;12047747
CTNND1,NPHS1,15331416
MTUS1,PTPN6,17068200
ACTB,NCALD,11964161
MDM2,NR3C1,24334056
CKM,RAD23B,19182904
CBL,NGFR,15337528
CALM1,SCN8A,12967988
KEAP1,MYO7A,11921171
PPL,VIM,12244133
AKT1,UXS1,11877387
NPLOC4,UBC,15029239;12411482
AP2A2,BIN1,10430869;17762867
PARK2,UBC,24386307
CCND2,CDK4,11384971
CCND2,CDK2,11384971
DYNC1H1,UBC,22871113
DRD1,RANBP9,20395553
GRM1,PSMC5,22486777
GRIA1,TANC1,15673434
PPP1CA,STAU1,15303970
BRAF,PSME3,12650640
MYH4,RAD23B,19182904
MAPK8,SIAH1,21336655
CDK5R1,CDK5RAP3,10721722
CALM1,NRGN,10075657;8080473
ABL2,SORBS3,16831423
CDK5R1,CDK5RAP2,10721722
ABHD17A,UBC,22871113
ACTN4,P2RX7,11707406
HOMER1,UBC,22871113
SP1,YBX1,22337869
CTBP1,NOS1,11590170
SEPT11,UBC,22871113
PABPC1,UBC,22871113
EFNB2,PICK1,15458844
FGR,UBC,22871113
ITGB2,UBC,22871113
ARRB2,TRAF6,16378096
FOXO1,SIRT1,21149440
DACT1,VANGL1,21718540
BIN1,NECAP1,17762867
CREM,STUB1,20724525;22267842
DACT1,VANGL2,21718540
EPN2,TUBA1A,12750376
CLDN11,UBC,22871113
HSP90AA1,NR3C1,12145311
SV2A,UBC,22871113
HEBP1,UBC,22871113
MAFA,MAPK14,23660596
BRDT,HNRNPL,22215678
AES,UBC,22871113
DYNLL1,LDHA,14760703
CBX4,GRM6,21288202
AP2M1,EPN1,12234931
SKI,SMURF2,20386537
LINGO1,UBC,22871113
ATP2C1,UBC,22871113
FCHO2,SYNJ1,20448150
SAFB,SRSF1,9671816
SAFB,SRSF6,9671816
CTNND1,DACT1,21718540
CCNB1,LMNB1,9053846
DYNC1H1,GPHN,16449194
GRIN2B,SPTAN1,9670010
HSPA4,P2RX7,11707406
SAFB,SRSF9,9671816
BMPR1A,UBC,22871113
CTNNB1,MACF1,16815997
ACVR1B,NEDD4L,19953087
TMEM127,UBC,22871113
KLHL14,TOR1A,19535332
ALAD,UBC,22871113
CANX,VCP,12847084
GATA6,SRF,12530967
CTNNB1,GSK3B,20623542
UBC,USP13,22871113
RAD23B,UBC,19182904;22871113
UBC,USP14,22871113
KHDRBS3,RBMX,11118435
NPLOC4,NSFL1C,10811609
EXOC4,WAS,17086175
GSK3B,MACF1,16815997
PDCL,PSMC5,9551090
NBR1,SQSTM1,15802564
CYP2E1,HSP90AA1,19401463
UBC,VIM,22871113
DNAJA2,UBC,22871113
ABCB11,AP2A1,22262466
JAG2,NOTCH1,19503073
EXOC4,RALA,11406615
APPL2,UBC,22871113
ATP6V1A,UBC,22871113
RAD23B,TNNT3,19182904
GRIA2,SDCBP,15458844
HK3,ZBTB17,11068878
IFITM3,SPP1,19901966
FNBP1,RND2,14732713
PPARGC1A,SOX9,16109717
HSP90B1,TG,9006956
GAPDH,SIAH1,15951807
AP2B1,KRT1,16903783
GPI,UBC,22871113
EIF3A,UBC,22871113
CDK5,DNM1,14704270
DACT1,DVL3,21718540
DACT1,DVL2,21718540
DACT1,DVL1,21718540
DNAJC3,HSPA8,9920933
MPDZ,SSTR3,19071123
PRKCB,RBCK1,9514928
CDK2,CTNNB1,14985333
MAOA,UBC,22871113
FOXO4,OGT,19932102
BAI3,UBC,22871113
INA,TANC1,15673434
UBC,VPS52,22871113
BCR,CD2AP,15001553
ATXN10,UBC,22871113
MDM2,SUMO1,17000718
SPTAN1,SPTBN1,14593108
RAD23B,STAT1,19182904
SEPT9,UBC,22871113
SIAH1,SNCA,18065497;19224863
BAIAP2,LIN7B,14596909
RNF130,SREBF1,24425205
DNM1,DYRK1A,15287745
DYNC1I1,KCNA5,16051887
CMIP,UBC,22871113
FEZ1,PRKCZ,9971736
NME8,UBC,22871113
CLTC,PARK7,16854843
PRMT5,SSTR1,10734105
CREM,UBC,20724525
DLG2,NLGN1,15458844
FKBP1A,MTOR,14679009
KLC1,SNCA,16176937
