symbol_1,symbol_2,pubmed_ids
LAPTM4A,UBC,22871113
CCNG1,MDM2,11983168
DACT3,DCO,21718540
APBA1,SNAP25,9395480
UBA3,UBC,22871113
CASKIN1,SIAH1,19523119
PSMC1,UBC,22871113
CALM1,GLP2R,15670850
CYP51,UBC,22871113
ALDOA,DYNLL1,14760703
PSMD14,UBLCP1,21949367
CDC20,MAD2L1,22100920
PSMC3,PSMD7,10657252
ANPEP,LMNB1,9305626
SLC17A7,UBC,22871113
GATA4,SRF,12530967
CCNG1,TP53,11983168
MAPK1,SCNN1G,11805112
MAPK1,SCNN1B,11805112
HES1,PARP1,15607978
SLC24A2,UBC,22871113
DACT1,GSK3A,21718540
DPYSL2,KATNA1,23904609
ATP2B1,UBC,22871113
E2F1,GSK3B,18367454
ITGB2,P2RX7,11707406
CSDA,RALA,15592429
CALCR,CALM1,15670850
AUP1,UBC,22871113
HERC1,RAD23B,19182904
RNF111,SKIL,20386537
DYNLL1,GPHN,14760703
PFKP,UBC,22871113
DYNLL1,PARD3,14760703
SIRPA,UBC,22871113
AGTR1A,GNAQ,17498700
CHEK2,TP53,18162465
MAGI3,NLGN1,15458844
KHDRBS3,SRSF9,11118435
MAGI3,NLGN2,15458844
DAPK3,PAWR,10580117;10602480
AGAP2,HOMER2,14528310
EHD2,SLC2A4,15182197
MAPT,UBC,22871113;23906983
AGAP2,HOMER1,14528310
MYL1,UBC,22871113
INSR,PTPLAD1,25687571
CBL,SH3KBP1,16177060
GPR56,UBC,22871113
PRKCA,SNCA,10407019
HOMER1,TANC1,15673434
CAMK2A,LBR,8598227
L1CAM,TOB2,16554297
MAP1LC3A,TUBA1A,7908909
PHKG1,UBC,22871113
DPYSL2,TUBA1A,12134159
STAM,UBC,22871113
KATNA1,RUFY3,23904609
SIPA1L1,UBC,23850969
NADSYN1,UBC,22871113
CFTR,PRKAA1,10862786
GJA1,PRKCA,10871288
SMURF2,TGFBR1,17347560;20386537
CFTR,PRKAA2,16844684
GRM8,PIAS4,16144832
LRRN1,UBC,22871113
CSNK2A1,GRIN2B,8940188
GRM8,PIAS1,21288202;16144832
GRM8,PIAS3,21288202
GRM8,PIAS2,16144832
GMEB1,UBE2I,11812797
GAD1,UBC,20405034
NEDD4,RAP2A,20159449
RALA,UBC,22871113
RAD23B,USP14,19182904
NUAK1,USP9X,18254724
C2,PSMA3,9688553
C2,PSMA5,9688553
C2,PSMA6,9688553
DCTN2,RAD23B,19182904
FNBP1,WASL,14732713
NGFR,PSEN1,19549834
MIB1,UBE2D2,25931508
HDAC1,HR,12403844
DLGAP2,GRIN2B,7569905
JAK2,SOCS1,14522994
ARC,UBC,22871113
MAP1B,UBC,22871113
RAD23B,RGD1560349,19182904
HYOU1,PDIA4,9006956
PSME1,RAD23B,19182904
GDI1,UBC,22871113
RAC1,TNFRSF12A,14573547
MAPK1-B,PRKCZ,8026469
CAMK2A,RAD23A,20178748
NRP1,VEGFA,17983687
STX5,STXBP1,9395480
UBE2B,UBR2,20080676
MDM2,SLC14A2,18784257
JAK2,STAT1,12538627
USP5,VCP,19182904
ITPR2,UBC,10191279;21071436
NDFIP1,UBC,22871113
KISS1,KISS1R,11457843
CDK2,KRAS,22045811;11384971
ACSBG1,UBC,22871113
ARAF,HRAS,9679960
RASSF1,SKP2,19533683
GRM6,PIAS3,21288202
GRM6,PIAS1,21288202;16144832
MRS6,RAB3A,12972569
P4HB,SOD1,23061969
ARL6IP5,UBC,22871113
STX7,VAMP8,11101518
CTNNBIP1,UBC,22871113
NFYA,SP1,11022037
NDN,RTN4,19386232
BAIAP2,MAGI2,14596909
UBC,UBE2L3,22871113
NLGN2,PDZRN3,15458844
JUN,SMARCD1,11053448
HSPA4L,UBC,22871113
APBA1,CASK,9753324
CACNA1B,UBC,22871113
PKM,UBC,22871113
JDP2,PGR,12101239
PSMC2,TBP,10526239
